,id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma,ano,mes,dia
0,1615033233,9a03983d-e1b3-3df1-b5e6-0a4ca26e3548,-17.52869,-57.66138,2023-01-02 17:11:00,Brasil,MATO GROSSO,CÁCERES,Pantanal,2023,1,2
3,1615033240,0b15e261-2a06-3e47-b07c-0fcc0245f305,-5.45368,-46.83593,2023-01-02 17:13:00,Brasil,MARANHÃO,AMARANTE DO MARANHÃO,Cerrado,2023,1,2
6,1615033246,f397b155-c7e5-3f4f-a5ba-9f7ea2d65529,-9.48866,-48.88199,2023-01-02 17:13:00,Brasil,TOCANTINS,DOIS IRMÃOS DO TOCANTINS,Cerrado,2023,1,2
8,1615033248,f9af0bd4-c352-38e2-9fae-44c8e7eaa940,-12.63814,-44.45765,2023-01-02 17:11:00,Brasil,BAHIA,BAIANÓPOLIS,Cerrado,2023,1,2
11,1615033251,440c800f-92f7-3e42-acad-28d1707d4416,-17.63758,-54.78225,2023-01-02 17:11:00,Brasil,MATO GROSSO DO SUL,SONORA,Cerrado,2023,1,2
14,1615033254,6aeb30de-7e5c-346c-a954-88f4b6a980d3,-20.93935,-49.1255,2023-01-02 17:09:00,Brasil,SÃO PAULO,UCHOA,Mata Atlântica,2023,1,2
17,1615033257,4b40f1a2-29f0-38c9-82a0-392aaaee3af6,-27.88698,-51.06258,2023-01-02 17:09:00,Brasil,RIO GRANDE DO SUL,ESMERALDA,Mata Atlântica,2023,1,2
20,1615033658,7a30def0-5485-3693-ac31-f7183dee115f,-1.76064,-53.4158,2023-01-02 17:15:00,Brasil,PARÁ,PRAINHA,Amazônia,2023,1,2
22,1615033660,db31ffb4-27ee-3604-ae58-7a8bf4eda09a,-3.29169,-58.6592,2023-01-02 17:15:00,Brasil,AMAZONAS,ITACOATIARA,Amazônia,2023,1,2
23,1615033661,d5c03fb1-93ec-382a-a8ac-67a7ce7941d0,3.94676,-59.75916,2023-01-02 17:17:00,Brasil,RORAIMA,NORMANDIA,Amazônia,2023,1,2
24,1615095642,c2cb851a-fa65-3835-a7ea-4b1264e421bf,-5.48604,-39.73949,2023-01-03 16:20:00,Brasil,CEARÁ,PEDRA BRANCA,Caatinga,2023,1,3
26,1615095644,5bdd497c-fac1-3d27-a48e-aed2421d1098,-6.71505,-38.03337,2023-01-03 16:20:00,Brasil,PARAÍBA,APARECIDA,Caatinga,2023,1,3
34,1615095663,e0f6efeb-7cbb-33cf-b684-7c654f5d15e8,-1.98566,-44.83628,2023-01-03 16:20:00,Brasil,MARANHÃO,MIRINZAL,Amazônia,2023,1,3
35,1615095664,794487e7-2c51-31cd-9f36-701b63e1ce9e,-2.15025,-46.42293,2023-01-03 16:20:00,Brasil,PARÁ,CACHOEIRA DO PIRIÁ,Amazônia,2023,1,3
49,1615095681,ad3f8cf8-4884-3d61-90ce-227cc4e2f9e8,-5.76592,-48.08064,2023-01-03 16:20:00,Brasil,TOCANTINS,ARAGUATINS,Cerrado,2023,1,3
51,1615095684,4e0eb945-9240-313e-892d-9cd066e9272d,-13.25698,-43.41287,2023-01-03 16:17:00,Brasil,BAHIA,BOM JESUS DA LAPA,Cerrado,2023,1,3
54,1615095687,060bfb11-d427-34a3-b49e-e8d8ff4ab225,-17.54764,-40.59286,2023-01-03 16:15:00,Brasil,MINAS GERAIS,CARLOS CHAGAS,Mata Atlântica,2023,1,3
55,1615095688,a674dd4b-4e14-3c36-ba41-5deb0a8e3d15,-20.37604,-40.6945,2023-01-03 16:13:00,Brasil,ESPÍRITO SANTO,DOMINGOS MARTINS,Mata Atlântica,2023,1,3
63,1615095698,81a9249a-87a5-345c-9e06-44caeeeb321a,-7.66482,-37.79046,2023-01-03 16:17:00,Brasil,PERNAMBUCO,QUIXABA,Caatinga,2023,1,3
64,1615095699,afba5b69-a5c1-3a11-b73c-98a7b61c9966,-3.4254,-42.06564,2023-01-03 16:20:00,Brasil,PIAUÍ,MURICI DOS PORTELAS,Caatinga,2023,1,3
114,1615095772,d3679f6a-ee2a-3579-8771-2d3e499c5a72,-5.75657,-35.61947,2023-01-03 16:20:00,Brasil,RIO GRANDE DO NORTE,IELMO MARINHO,Caatinga,2023,1,3
