,id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma,ano,mes,dia
0,1422833677,af379e6c-9202-354f-8ef1-d1eec5a371e4,-3.65,-54.732,2020-06-16 17:00:00,Brasil,PARÁ,PLACAS,Amazônia,2020,6,16
1,1422833676,f3f9fabe-661e-3e2a-a641-34db5339e733,-4.128,-47.074,2020-06-16 17:00:00,Brasil,MARANHÃO,ITINGA DO MARANHÃO,Amazônia,2020,6,16
2,1422833578,b47fec02-9489-3696-9f0c-1afd415e080e,-10.513,-53.483,2020-06-16 16:55:00,Brasil,MATO GROSSO,PEIXOTO DE AZEVEDO,Amazônia,2020,6,16
4,1422833580,59553bac-9736-34e7-9124-937a239e040d,-10.494,-46.488,2020-06-16 16:55:00,Brasil,TOCANTINS,MATEIROS,Cerrado,2020,6,16
12,1422833412,3d0c70cc-1ddd-353a-a3b9-2c68d688a050,-17.126,-51.714,2020-06-16 16:55:00,Brasil,GOIÁS,CAIAPÔNIA,Cerrado,2020,6,16
14,1422833493,d967a1b2-4321-325e-a1e9-eb260c3f040d,-19.962,-57.616,2020-06-16 16:55:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal,2020,6,16
23,1422833399,7e31bed1-d0e1-3f8f-810a-b25e78ce0f3d,-21.319,-46.97,2020-06-16 16:55:00,Brasil,MINAS GERAIS,ARCEBURGO,Cerrado,2020,6,16
28,1422833503,44aa21d7-57e3-32c1-9313-edee8741828a,-9.45,-45.331,2020-06-16 16:55:00,Brasil,PIAUÍ,GILBUÉS,Cerrado,2020,6,16
66,1422830996,f1f563e6-09ae-36d2-b211-f1d7d19c8dd3,-31.806,-52.966,2020-06-16 16:50:00,Brasil,RIO GRANDE DO SUL,PIRATINI,Pampa,2020,6,16
67,1507424282,c6662f29-40e9-306a-8acb-c00e319337c6,-8.047,-61.417,2020-08-13 17:35:00,Brasil,AMAZONAS,MANICORÉ,Amazônia,2020,8,13
68,1507424281,53147a94-4277-394b-91c0-1e029f54fca4,-9.49,-62.363,2020-08-13 17:35:00,Brasil,RONDÔNIA,MACHADINHO D'OESTE,Amazônia,2020,8,13
70,1507424279,0955e91b-0dc5-324d-b6e1-7fc21279070d,-20.3,-57.988,2020-08-13 17:30:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal,2020,8,13
73,1422908837,96f3578a-7264-36c8-b1da-4c4000c3011f,-20.849,-57.788,2020-06-17 17:35:00,Brasil,MATO GROSSO DO SUL,PORTO MURTINHO,Pantanal,2020,6,17
85,1507424024,884570dc-e3c4-3242-b325-1be7adcdc8fa,-16.799,-56.791,2020-08-13 17:30:00,Brasil,MATO GROSSO,POCONÉ,Pantanal,2020,8,13
86,1507424023,036a1e1d-3036-3293-8b13-11fe6a11b384,-4.531,-54.867,2020-08-13 17:35:00,Brasil,PARÁ,ALTAMIRA,Amazônia,2020,8,13
127,1507441586,04a7211e-0911-3756-b6f3-6e99bd69a79c,-7.69,-72.925,2020-08-13 19:10:00,Brasil,ACRE,RODRIGUES ALVES,Amazônia,2020,8,13
137,1507425428,d5fd4cb5-1388-3568-b8d8-3b3f8e70fcdd,-8.392,-49.245,2020-08-13 17:35:00,Brasil,TOCANTINS,COUTO MAGALHÃES,Cerrado,2020,8,13
157,1507425408,b831a570-aa00-3bde-8474-66428a25a6d5,-15.315,-50.466,2020-08-13 17:30:00,Brasil,GOIÁS,ARAGUAPAZ,Cerrado,2020,8,13
257,1507425256,328916eb-ab56-3fda-bbb4-308eb2531178,0.601,-51.561,2020-08-13 17:35:00,Brasil,AMAPÁ,PORTO GRANDE,Amazônia,2020,8,13
285,1507425562,ec7c179e-24fc-3198-a737-45dabd77b3d1,-21.135,-45.895,2020-08-13 17:30:00,Brasil,MINAS GERAIS,CAMPO DO MEIO,Mata Atlântica,2020,8,13
286,1507425561,54659978-8820-35ee-b617-b5c3883adcf8,-23.248,-47.106,2020-08-13 17:30:00,Brasil,SÃO PAULO,CABREÚVA,Mata Atlântica,2020,8,13
504,1507425784,1deba1d0-cf56-3ec6-b757-758407a7ece9,-30.076,-56.209,2020-08-13 17:30:00,Brasil,RIO GRANDE DO SUL,URUGUAIANA,Pampa,2020,8,13
1134,1507424250,6ad0529b-4b1e-38a0-999f-54fcba325ca3,4.941,-60.17,2020-08-13 17:35:00,Brasil,RORAIMA,UIRAMUTÃ,Amazônia,2020,8,13
1183,1507363770,7a87f156-5bf5-339c-9ace-e28b18e8baed,-4.265,-43.344,2020-08-13 15:55:00,Brasil,MARANHÃO,AFONSO CUNHA,Cerrado,2020,8,13
1184,1507363766,92dbbbc2-b2c7-3fb0-926f-0a9ec6ecd842,-3.996,-41.206,2020-08-13 15:55:00,Brasil,CEARÁ,IBIAPINA,Caatinga,2020,8,13
1186,1507363764,7119d7da-0eba-36ba-8715-04946f8be661,-8.171,-43.15,2020-08-13 15:55:00,Brasil,PIAUÍ,CANTO DO BURITI,Caatinga,2020,8,13
1189,1507363761,9bc6c17b-5f32-35c8-bc34-60784ea11884,-7.054,-37.986,2020-08-13 15:55:00,Brasil,PARAÍBA,COREMAS,Caatinga,2020,8,13
1194,1507363754,905fa0fe-c821-321e-872b-a3bd73c2f40e,-6.191,-38.229,2020-08-13 15:55:00,Brasil,RIO GRANDE DO NORTE,RAFAEL FERNANDES,Caatinga,2020,8,13
1224,1507556700,e26fa402-dc4d-368e-92ae-a9df68c1fffd,-19.846,-47.472,2020-08-14 16:35:00,Brasil,MINAS GERAIS,SACRAMENTO,Cerrado,2020,8,14
1225,1507572818,2fc2821b-b39b-3078-8380-16834f81e00f,-20.304,-57.225,2020-08-14 18:15:00,Brasil,MATO GROSSO DO SUL,PORTO MURTINHO,Pantanal,2020,8,14
