,id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma,ano,mes,dia
0,1407449197,163f85ea-2a1e-3c9b-b2ab-6d8cb5918061,-3.602,-49.963,2019-10-27 17:05:00,Brasil,PARÁ,PACAJÁ,Amazônia,2019,10,27
4,1407449193,9e13918d-356f-3f66-97b3-af6d516e0b47,-3.651,-58.254,2019-10-27 17:05:00,Brasil,AMAZONAS,NOVA OLINDA DO NORTE,Amazônia,2019,10,27
12,1407567153,1d35aee9-c037-3c75-b890-4515c949bbc4,-9.013,-60.529,2019-10-28 17:45:00,Brasil,MATO GROSSO,COLNIZA,Amazônia,2019,10,28
13,1407567502,df93e061-0633-378a-aee2-42af7a7684b4,-3.115,-65.237,2019-10-28 17:45:00,Brasil,AMAZONAS,UARINI,Amazônia,2019,10,28
17,1407790548,e8851c23-4c2c-3eb5-9166-5b827cdc7c20,-19.64,-57.069,2019-10-30 17:30:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal,2019,10,30
18,1407790547,ec5ec867-1684-3e41-9a34-b470f36d976f,-17.173,-57.437,2019-10-30 17:30:00,Brasil,MATO GROSSO,CÁCERES,Pantanal,2019,10,30
22,1407938194,d6476a11-fb5e-30f6-921a-6b0c7a194f1e,-6.909,-37.036,2019-11-01 15:45:00,Brasil,PARAÍBA,SÃO MAMEDE,Caatinga,2019,11,1
23,1407938197,df274338-2fe7-33a8-b60d-a5ec721ae533,-6.666,-37.467,2019-11-01 15:45:00,Brasil,RIO GRANDE DO NORTE,SERRA NEGRA DO NORTE,Caatinga,2019,11,1
25,1408018936,279a5843-9eef-3e0f-8140-1ae6b9c3ac2c,-3.16,-47.494,2019-11-02 16:25:00,Brasil,PARÁ,PARAGOMINAS,Amazônia,2019,11,2
26,1408018935,dbd54dfd-2e3d-3489-8f95-40e9d63076fa,-3.156,-44.228,2019-11-02 16:25:00,Brasil,MARANHÃO,SANTA RITA,Amazônia,2019,11,2
35,1408018998,9afd9c88-8741-3d62-8acf-d2ea4c775c92,-7.634,-42.321,2019-11-02 16:25:00,Brasil,PIAUÍ,SÃO MIGUEL DO FIDALGO,Caatinga,2019,11,2
39,1408018994,f154b1e3-d7b2-3d6e-9f01-b118f180996d,-7.542,-38.003,2019-11-02 16:25:00,Brasil,PARAÍBA,PRINCESA ISABEL,Caatinga,2019,11,2
48,1408147029,ede33ee6-af9b-31fb-86c0-3ff3397f946e,-19.729,-57.103,2019-11-04 17:50:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal,2019,11,4
57,1408346080,6fd6772b-94ed-3ff4-b8fd-dd0ad8cc0cca,-17.69,-57.065,2019-11-06 17:35:00,Brasil,MATO GROSSO,POCONÉ,Pantanal,2019,11,6
63,1408346074,405a4d5a-df68-34d9-b5c6-d82ba89ba8cf,-14.99,-49.545,2019-11-06 17:35:00,Brasil,GOIÁS,ITAPACI,Cerrado,2019,11,6
64,1408346302,f803f639-28eb-3d79-9306-3bf7bed0efed,-7.052,-63.041,2019-11-06 17:40:00,Brasil,AMAZONAS,HUMAITÁ,Amazônia,2019,11,6
68,1408346307,af46e7c0-6898-31a4-b688-0dc83f924e97,-9.597,-63.155,2019-11-06 17:40:00,Brasil,RONDÔNIA,ALTO PARAÍSO,Amazônia,2019,11,6
74,1408408359,9752c856-2cf7-334b-9627-3cf643aad9a1,-3.382,-51.161,2019-11-07 16:45:00,Brasil,PARÁ,PACAJÁ,Amazônia,2019,11,7
76,1408408367,cf135f39-19bd-3208-a8cd-2b6e076a256e,-3.438,-44.425,2019-11-07 16:45:00,Brasil,MARANHÃO,ITAPECURU MIRIM,Cerrado,2019,11,7
78,1408408365,f36e7f61-3c2b-3595-a919-89b805647216,-3.674,-41.822,2019-11-07 16:45:00,Brasil,PIAUÍ,PIRACURUCA,Caatinga,2019,11,7
89,1408408435,ef507e97-dc1a-38d3-91f8-a1338a0701b2,-12.175,-51.298,2019-11-07 16:45:00,Brasil,MATO GROSSO,NOVO SANTO ANTÔNIO,Cerrado,2019,11,7
92,1408408432,ad41b9c2-4a56-3bb0-b9b4-b0039069c5ef,-8.47,-40.058,2019-11-07 16:45:00,Brasil,PERNAMBUCO,SANTA MARIA DA BOA VISTA,Caatinga,2019,11,7
103,1408408699,a9ee9f12-b348-34be-8ca9-40b7c76883fc,-10.689,-44.261,2019-11-07 16:45:00,Brasil,BAHIA,SANTA RITA DE CÁSSIA,Cerrado,2019,11,7
111,1408508817,62301e51-5946-3617-88cf-53d08fa8a114,-29.19,-54.865,2019-11-08 17:20:00,Brasil,RIO GRANDE DO SUL,SANTIAGO,Pampa,2019,11,8
