,id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma,ano,mes,dia
0,1573831549,a051ae23-19a8-32ae-9c5f-420da79f2c45,4.22817,-60.18431,2022-01-11 17:15:00,Brasil,RORAIMA,UIRAMUTÃ,Amazônia,2022,1,11
1,1573831670,56c8bf05-f851-3f3c-b879-a9b4ae9efbf5,-4.21541,-54.90501,2022-01-11 17:13:00,Brasil,PARÁ,RURÓPOLIS,Amazônia,2022,1,11
4,1574047185,2fb78c50-6110-3ea6-9ca4-4fa8adffcfd7,-28.56226,-51.36904,2022-01-13 16:54:00,Brasil,RIO GRANDE DO SUL,MUITOS CAPÕES,Mata Atlântica,2022,1,13
5,1574164661,c04c419d-9855-3c1a-a2c1-3ebc0409e53f,-11.68633,-37.82563,2022-01-14 16:05:00,Brasil,BAHIA,RIO REAL,Mata Atlântica,2022,1,14
6,1574164662,5b9bac14-a57e-3f12-ac2b-d081cc12f9b4,-2.82439,-43.21342,2022-01-14 16:05:00,Brasil,MARANHÃO,SANTO AMARO DO MARANHÃO,Cerrado,2022,1,14
7,1574164664,a0bc8251-7ae8-30b0-abdc-71940fa1a763,-2.01617,-47.00993,2022-01-14 16:07:00,Brasil,PARÁ,GARRAFÃO DO NORTE,Amazônia,2022,1,14
9,1574352890,e70b12ff-f441-3851-896b-7a9867645067,-5.89268,-36.73197,2022-01-16 15:52:00,Brasil,RIO GRANDE DO NORTE,SANTANA DO MATOS,Caatinga,2022,1,16
10,1574992486,ef5cdee5-6183-32fb-a8a2-a0a796f2e974,-28.93822,-53.35224,2022-01-21 17:43:00,Brasil,RIO GRANDE DO SUL,FORTALEZA DOS VALOS,Pampa,2022,1,21
11,1574992482,b6344d7d-a634-3c9b-bee6-a77b8be9ed66,-7.9539,-61.35332,2022-01-21 17:49:00,Brasil,AMAZONAS,MANICORÉ,Amazônia,2022,1,21
13,1574988053,82777298-cb6d-31a2-bcd1-24cf1a73d4d6,-11.96912,-43.61663,2022-01-21 16:09:00,Brasil,BAHIA,MUQUÉM DO SÃO FRANCISCO,Cerrado,2022,1,21
16,1575126829,c7906ad5-4287-353a-9afc-f753249add59,3.14944,-59.97308,2022-01-22 16:56:00,Brasil,RORAIMA,BONFIM,Amazônia,2022,1,22
18,1575234675,a6c5c299-2c37-38d4-9cd9-67c2825f36d2,-3.65047,-42.79267,2022-01-23 15:58:00,Brasil,MARANHÃO,BREJO,Cerrado,2022,1,23
21,1575234678,5a21bbe8-1a2c-309e-8f53-5419b7d52c1a,-5.18672,-35.71511,2022-01-23 15:58:00,Brasil,RIO GRANDE DO NORTE,SÃO MIGUEL DO GOSTOSO,Caatinga,2022,1,23
22,1575234679,39486794-cd3e-32a4-8914-7857af2f9fbc,-6.97606,-38.62823,2022-01-23 15:58:00,Brasil,PARAÍBA,CAJAZEIRAS,Caatinga,2022,1,23
24,1575234681,cd202c64-b3e1-3b8b-9110-ad08e93d98cd,-7.5387,-34.9776,2022-01-23 15:56:00,Brasil,PERNAMBUCO,GOIANA,Mata Atlântica,2022,1,23
27,1575234684,da145688-b2a7-3cba-a9a4-82bde977de52,-8.17112,-44.20264,2022-01-23 15:58:00,Brasil,PIAUÍ,SEBASTIÃO LEAL,Cerrado,2022,1,23
30,1575561680,a507153f-a7d5-3d9d-9bfa-4daf9d20da46,-20.22933,-57.35368,2022-01-25 17:21:00,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Cerrado,2022,1,25
31,1575561673,8605c69d-5319-3116-b143-feb489be970a,-13.46212,-53.34909,2022-01-25 17:21:00,Brasil,MATO GROSSO,GAÚCHA DO NORTE,Amazônia,2022,1,25
33,1576252947,0c8108d4-fb0f-3f3e-a418-febae981cf33,2.75473,-60.07822,2022-01-30 17:45:00,Brasil,RORAIMA,BONFIM,Amazônia,2022,1,30
35,1572808589,44822b86-bb86-33ad-8a18-45b10f8ce617,-30.27933,-55.61089,2022-01-01 18:06:00,Brasil,RIO GRANDE DO SUL,ROSÁRIO DO SUL,Pampa,2022,1,1
36,1572808401,a10bdab6-f09c-3ce4-867c-264e9eba86df,-11.72939,-64.88394,2022-01-01 18:13:00,Brasil,RONDÔNIA,GUAJARÁ-MIRIM,Amazônia,2022,1,1
37,1572808398,5995c84b-8189-38db-ac4a-264ffc8f381e,-7.50954,-63.74274,2022-01-01 18:15:00,Brasil,AMAZONAS,CANUTAMA,Amazônia,2022,1,1
38,1572808391,730d4337-5679-3837-803d-8f5ddc75f64f,-23.15905,-53.72797,2022-01-01 18:08:00,Brasil,MATO GROSSO DO SUL,NAVIRAÍ,Mata Atlântica,2022,1,1
40,1572808311,5277e61b-e10a-3df7-bee1-5effec2a0008,-10.97156,-68.33749,2022-01-01 18:13:00,Brasil,ACRE,XAPURI,Amazônia,2022,1,1
42,1572808300,f8e7fae9-d6d8-3358-8259-c6263f6916c0,3.63268,-60.73129,2022-01-01 18:17:00,Brasil,RORAIMA,PACARAIMA,Amazônia,2022,1,1
50,1572806038,efb1fc27-a264-3802-baf7-cc7ffd32a532,-9.0378,-44.01226,2022-01-01 16:34:00,Brasil,PIAUÍ,SANTA LUZ,Cerrado,2022,1,1
51,1572806036,d140810e-37de-35d2-95ec-0ce23b409c24,-16.85752,-40.69326,2022-01-01 16:32:00,Brasil,MINAS GERAIS,SANTA HELENA DE MINAS,Mata Atlântica,2022,1,1
53,1572806034,3037f579-38a4-30b0-9074-fe9add64bc6b,-13.37744,-43.03148,2022-01-01 16:34:00,Brasil,BAHIA,RIACHO DE SANTANA,Caatinga,2022,1,1
54,1576557441,24a6e767-209f-3594-a5b5-5d25ace21592,-31.19584,-52.96782,2022-02-01 17:24:00,Brasil,RIO GRANDE DO SUL,PIRATINI,Pampa,2022,2,1
57,1576557433,d4c3a3fd-23e2-3e59-9a1e-3636c1af59be,-27.05733,-51.26769,2022-02-01 17:24:00,Brasil,SANTA CATARINA,PINHEIRO PRETO,Mata Atlântica,2022,2,1
59,1576557426,ea63b2b5-993d-32fd-be21-c7a13aa3b730,-25.47757,-49.7955,2022-02-01 17:24:00,Brasil,PARANÁ,PORTO AMAZONAS,Mata Atlântica,2022,2,1
62,1576557415,5cbfcc1c-65fa-3a34-90e3-d62559fc6d25,-23.25807,-53.81068,2022-02-01 17:26:00,Brasil,MATO GROSSO DO SUL,NAVIRAÍ,Mata Atlântica,2022,2,1
63,1576557414,f5987b1e-4bb3-34aa-b6ba-70354b9aa75d,4.80595,-60.65911,2022-02-01 17:34:00,Brasil,RORAIMA,PACARAIMA,Amazônia,2022,2,1
